                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     34,                0.04886,               0.029014,               0.027928,               0.023738,                0.45582,                0.42876,                0.32811,                0.15674,                0.78251,                0.32549,                0.36689,                 0.1794,               0.065663,               0.033055,               0.026366,               0.022168,               0.008515,               0.008515,               0.008515
                     35,               0.069099,               0.030716,               0.030674,                0.02294,                0.82229,                0.26579,                0.34446,                  0.152,                0.82229,                0.26579,                 0.4016,                0.20511,               0.064377,               0.027877,               0.021149,               0.021933,                0.00847,                0.00847,                0.00847
                     36,               0.065963,               0.027054,               0.027689,                0.02356,                0.79399,                0.30906,                0.40235,                0.21727,                0.78698,                0.31469,                0.40646,                0.21769,               0.057431,               0.028598,               0.020763,               0.021946,               0.008425,               0.008425,               0.008425
                     37,               0.066441,               0.027417,               0.027802,               0.022678,                0.76472,                0.28856,                0.34667,                0.12476,                0.27089,                 0.5894,                0.39725,                0.19893,               0.063939,                0.02502,               0.020575,               0.021656,                0.00838,                0.00838,                0.00838
                     38,                0.06364,               0.026819,               0.031131,               0.023153,                0.82525,                0.31068,                0.47971,                0.23351,                0.82525,                0.31068,                0.45206,                0.21713,                0.04879,               0.025427,               0.020441,               0.021587,               0.008335,               0.008335,               0.008335
                     39,               0.060015,               0.027047,               0.031958,               0.023544,                 0.9145,                 0.2961,                0.44166,                 0.1738,                0.92653,                0.29805,                0.52727,                0.28789,               0.059856,               0.025565,               0.019978,                0.02158,                0.00829,                0.00829,                0.00829
                     40,               0.055111,               0.030813,               0.027747,               0.023267,                0.92169,                0.31026,                0.54414,                0.32912,                0.28205,                0.56315,                 0.5466,                0.29337,                0.04263,               0.025085,               0.020333,               0.021273,               0.008245,               0.008245,               0.008245
                     41,               0.052608,               0.029208,               0.031907,                0.02235,                0.28661,                0.59088,                0.50792,                0.25408,                0.27367,                0.62488,                0.53597,                0.30816,               0.042814,               0.023739,                0.02002,               0.021098,                 0.0082,                 0.0082,                 0.0082
                     42,               0.050084,               0.030101,               0.029436,               0.023204,                0.29154,                 0.6296,                0.48161,                0.20518,                0.29665,                0.64137,                0.49261,                0.26406,               0.056201,               0.025282,               0.019815,               0.020653,               0.008155,               0.008155,               0.008155
                     43,               0.061069,               0.028054,                 0.0297,               0.022166,                0.22062,                0.53864,                0.43185,                0.24171,                0.23145,                0.55769,                0.44567,                0.25807,               0.046296,               0.025185,               0.018902,               0.020787,                0.00811,                0.00811,                0.00811
                     44,                0.05378,               0.025122,               0.027018,               0.021851,                 0.2193,                 0.6076,                 0.4898,                0.23567,                0.26827,                0.66569,                0.52116,                0.27128,               0.051907,               0.025329,                0.01832,                0.02048,               0.008065,               0.008065,               0.008065
                     45,               0.057962,               0.027773,               0.027199,               0.021591,                0.33026,                0.64488,                0.52579,                0.28199,                0.34624,                0.68693,                0.54886,                 0.2858,               0.046447,               0.025478,               0.018871,               0.020299,                0.00802,                0.00802,                0.00802
                     46,               0.054538,               0.025346,               0.024238,               0.022309,                0.23237,                0.64494,                0.46084,                0.22059,                0.29349,                0.64779,                0.50032,                0.26862,               0.051789,               0.024575,                0.01882,               0.020103,               0.007975,               0.007975,               0.007975
                     47,               0.054992,               0.027466,               0.029912,               0.021605,                0.34494,                0.64531,                0.54582,                0.29966,                0.33201,                0.62923,                0.54021,                0.30282,               0.042112,               0.027542,                0.01849,               0.020172,                0.00793,                0.00793,                0.00793
                     48,               0.051373,               0.025509,               0.027741,               0.021771,                0.51864,                 0.5199,                0.51894,                0.25143,                0.42998,                0.65659,                0.53905,                0.28664,               0.048814,               0.025565,               0.019581,               0.019886,               0.007885,               0.007885,               0.007885
                     49,               0.048794,               0.030013,               0.024606,               0.021494,                0.33745,                0.72288,                0.53928,                0.30926,                0.32962,                0.74149,                0.53149,                0.27698,               0.039106,               0.034094,               0.019629,               0.020011,                0.00784,                0.00784,                0.00784
                     50,               0.048179,               0.027671,               0.025499,               0.022397,                 0.2974,                0.83849,                0.52991,                0.28024,                0.29809,                0.83318,                0.54376,                0.32117,               0.045865,               0.029966,               0.018466,               0.019534,               0.007795,               0.007795,               0.007795
                     51,               0.054554,               0.028165,               0.026891,               0.021271,                0.32499,                0.75929,                0.51165,                0.26967,                 0.3122,                0.64932,                0.47032,                0.25931,               0.048303,               0.026544,               0.018592,               0.019381,                0.00775,                0.00775,                0.00775
