                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     43,                0.02819,               0.017399,                0.03176,              0.0025127,                0.98764,                0.99019,                0.98714,                0.76508,                0.91401,                0.91404,                0.91309,                0.72701,                0.02077,               0.016285,               0.020984,              0.0019406,                0.00811,                0.00811,                0.00811
                     44,               0.027983,               0.016961,               0.029766,              0.0024509,                0.98638,                0.98732,                0.98581,                 0.7482,                0.93422,                0.93491,                0.92803,                 0.7178,               0.021471,               0.016369,               0.021312,              0.0020454,               0.008065,               0.008065,               0.008065
                     45,               0.028263,               0.017192,               0.028997,              0.0023921,                0.98902,                0.99173,                0.98913,                0.76952,                0.90791,                0.91035,                0.90601,                0.70849,               0.019037,               0.016386,               0.021061,              0.0018769,                0.00802,                0.00802,                0.00802
                     46,               0.027836,               0.017045,               0.030175,              0.0024256,                0.98827,                0.99035,                0.98706,                0.74332,                0.93012,                0.93104,                0.92083,                0.67206,               0.021713,               0.016156,                0.02098,              0.0021065,               0.007975,               0.007975,               0.007975
                     47,               0.027827,               0.016652,               0.030151,              0.0024453,                0.98937,                0.99173,                0.98858,                0.80739,                 0.9318,                 0.9338,                0.92446,                0.70519,               0.016291,                0.01634,               0.020112,              0.0017701,                0.00793,                0.00793,                0.00793
                     48,               0.027408,               0.016946,               0.028868,              0.0021223,                0.99118,                0.99173,                0.98819,                0.78862,                0.93134,                0.93104,                0.92659,                0.75456,                0.01753,               0.016075,               0.019969,              0.0017325,               0.007885,               0.007885,               0.007885
                     49,               0.027242,               0.016921,               0.029195,              0.0022934,                0.98445,                0.98484,                0.97923,                 0.6885,                0.95417,                0.95449,                0.95227,                 0.7515,               0.022469,               0.016293,                0.02096,               0.001858,                0.00784,                0.00784,                0.00784
                     50,               0.027656,               0.017469,               0.028811,              0.0025778,                0.98938,                0.99008,                0.98627,                0.75444,                0.94561,                0.94622,                0.93913,                0.77159,               0.018732,               0.015993,               0.019989,              0.0019612,               0.007795,               0.007795,               0.007795
                     51,               0.026872,               0.016886,               0.030715,              0.0022695,                0.98985,                0.99146,                0.99021,                0.78651,                0.95562,                0.95725,                0.94984,                0.78627,               0.017947,                0.01621,               0.019909,              0.0018702,                0.00775,                0.00775,                0.00775
                     52,                0.02573,               0.017129,               0.028474,              0.0023938,                0.98992,                0.99127,                0.98989,                0.80287,                0.95116,                0.95277,                0.94651,                0.74273,               0.016375,                0.01634,               0.018801,              0.0018878,               0.007705,               0.007705,               0.007705
                     53,               0.026739,               0.016289,               0.028012,              0.0022663,                 0.9902,                0.99173,                0.98929,                0.78387,                0.92691,                0.92691,                0.91251,                0.67736,               0.017317,               0.016093,               0.019389,              0.0017921,                0.00766,                0.00766,                0.00766
                     54,               0.027318,               0.017131,                0.02892,              0.0022106,                0.99285,                0.99304,                0.99148,                0.82575,                0.94639,                0.94592,                0.93986,                0.73707,               0.016733,               0.015956,                0.01887,              0.0017059,               0.007615,               0.007615,               0.007615
                     55,               0.026562,               0.016755,               0.027707,              0.0020679,                0.98758,                 0.9876,                0.98517,                0.75475,                0.90824,                 0.9076,                0.89299,                0.66521,                0.02168,               0.016364,               0.019894,              0.0017858,                0.00757,                0.00757,                0.00757
                     56,               0.026219,               0.016683,               0.028617,              0.0022884,                0.99182,                0.99173,                0.99065,                 0.7892,                0.92321,                0.92277,                0.91371,                0.68089,               0.020417,               0.016245,               0.019676,               0.001824,               0.007525,               0.007525,               0.007525
                     57,               0.026434,               0.016514,               0.028582,              0.0021809,                0.99048,                0.99035,                0.98716,                 0.8077,                0.92175,                0.92139,                0.91393,                0.68472,               0.017604,               0.016244,               0.019459,              0.0017053,                0.00748,                0.00748,                0.00748
                     58,               0.025809,               0.017057,               0.028636,              0.0022111,                  0.993,                0.99305,                0.99101,                0.80757,                0.96682,                0.96688,                0.96327,                0.74123,               0.018242,               0.015923,               0.019022,              0.0017915,               0.007435,               0.007435,               0.007435
                     59,               0.025327,               0.017331,               0.027986,              0.0022192,                0.99234,                0.99284,                0.99092,                0.77738,                0.95832,                0.95863,                0.95331,                0.76104,               0.018181,               0.015967,               0.020074,               0.001677,                0.00739,                0.00739,                0.00739
                     60,               0.026219,               0.016841,               0.028935,              0.0022275,                0.99004,                0.99035,                0.98678,                0.78986,                0.91703,                0.91725,                0.90696,                0.67281,               0.018401,               0.015864,               0.019128,               0.001752,               0.007345,               0.007345,               0.007345
                     61,                0.02607,               0.016198,               0.027978,              0.0020558,                0.99114,                0.99173,                0.98898,                0.80145,                0.94705,                 0.9476,                0.93852,                0.74117,               0.018216,               0.016065,               0.019691,              0.0016516,                 0.0073,                 0.0073,                 0.0073
                     62,                0.02489,               0.016292,               0.027764,              0.0020831,                0.98938,                0.99035,                0.98707,                0.80175,                0.92737,                0.92553,                0.91615,                0.69577,               0.019334,               0.016424,               0.019836,                0.00187,               0.007255,               0.007255,               0.007255
                     63,               0.025029,                0.01642,               0.028403,              0.0021607,                 0.9895,                0.99035,                0.98684,                0.76276,                0.93491,                0.93518,                0.92786,                0.76525,               0.019869,                0.01661,                0.01997,              0.0016499,                0.00721,                0.00721,                0.00721
                     64,               0.025298,               0.016346,               0.027809,              0.0020075,                0.98978,                0.98953,                0.98734,                0.79137,                0.96222,                0.96199,                0.95894,                0.76135,               0.016396,               0.016507,               0.018619,              0.0016236,               0.007165,               0.007165,               0.007165
                     65,               0.025621,               0.016934,               0.028153,              0.0021019,                0.98971,                0.99035,                0.98698,                0.79583,                0.97179,                0.97242,                0.96721,                 0.7396,                0.01703,               0.016267,               0.020184,              0.0017536,                0.00712,                0.00712,                0.00712
                     66,                0.02513,               0.016148,               0.027985,              0.0020479,                0.99124,                0.99173,                 0.9895,                0.81361,                0.95706,                0.95725,                0.94948,                0.72985,               0.016718,               0.015964,               0.019219,              0.0016902,               0.007075,               0.007075,               0.007075
                     67,                0.02428,               0.016089,               0.026717,              0.0020373,                0.98931,                0.99035,                0.98633,                 0.8082,                0.95244,                0.95311,                0.94513,                0.74263,               0.016657,               0.015697,               0.018991,               0.001815,                0.00703,                0.00703,                0.00703
                     68,               0.024697,               0.016657,               0.028854,              0.0021698,                0.99093,                0.99173,                0.98864,                0.80757,                0.90691,                 0.9076,                0.89617,                 0.6949,               0.017019,               0.015842,               0.019491,              0.0016619,               0.006985,               0.006985,               0.006985
                     69,               0.024282,               0.016062,               0.027152,              0.0019523,                0.99042,                0.98961,                0.98647,                0.77038,                0.92022,                0.91929,                0.91392,                0.71859,                0.01812,               0.016015,                0.01919,              0.0017021,                0.00694,                0.00694,                0.00694
                     70,               0.024572,               0.016081,               0.027924,              0.0020838,                0.98858,                0.98897,                0.98607,                0.80086,                0.91977,                0.92001,                0.90971,                0.69835,               0.016635,               0.015872,               0.018661,              0.0016546,               0.006895,               0.006895,               0.006895
                     71,                0.02449,               0.016372,               0.027215,              0.0019603,                0.98979,                0.99035,                0.98767,                0.79894,                 0.9559,                0.95587,                0.95337,                0.76586,               0.017606,               0.016187,               0.019103,              0.0017183,                0.00685,                0.00685,                0.00685
                     72,               0.024232,               0.016525,               0.028735,              0.0020635,                0.98849,                0.98897,                0.98547,                0.81416,                0.96228,                0.96277,                0.95834,                0.73136,               0.016597,               0.016513,                 0.0194,              0.0016551,               0.006805,               0.006805,               0.006805
                     73,               0.024289,               0.016096,               0.027949,              0.0018611,                 0.9895,                0.99035,                0.98646,                0.79014,                 0.9592,                0.96001,                0.95218,                0.77126,               0.018059,               0.016373,               0.019737,              0.0016513,                0.00676,                0.00676,                0.00676
                     74,               0.024183,               0.016117,               0.027938,              0.0021153,                0.99223,                 0.9927,                0.99023,                0.80912,                0.95973,                0.96001,                0.95218,                0.73895,               0.016996,               0.016112,               0.019097,              0.0017365,               0.006715,               0.006715,               0.006715
                     75,               0.023553,               0.015687,               0.027481,              0.0020363,                 0.9919,                 0.9926,                0.99032,                0.81395,                0.96711,                0.96691,                0.96193,                0.73642,               0.016158,               0.015836,               0.018487,              0.0016589,                0.00667,                0.00667,                0.00667
                     76,               0.023372,               0.016184,               0.027252,              0.0019316,                0.99257,                0.99311,                0.99087,                0.78104,                0.95717,                0.95587,                0.94559,                0.68681,               0.018258,               0.015846,               0.019485,              0.0016136,               0.006625,               0.006625,               0.006625
                     77,               0.023684,               0.015961,               0.027538,              0.0019197,                  0.989,                 0.9876,                0.98464,                0.80334,                0.96823,                0.96829,                0.96394,                0.77341,               0.017918,               0.016211,               0.018632,              0.0014657,                0.00658,                0.00658,                0.00658
                     78,               0.023313,               0.015839,               0.026334,              0.0019092,                0.98956,                0.99035,                0.98645,                 0.8149,                0.94975,                0.94897,                 0.9394,                0.71766,               0.016148,               0.015853,               0.018569,               0.001654,               0.006535,               0.006535,               0.006535
                     79,               0.023384,               0.016096,               0.027276,              0.0020432,                0.98812,                0.98897,                0.98521,                0.80693,                0.94011,                 0.9407,                0.93437,                0.77204,               0.016694,               0.016268,               0.018779,              0.0016233,                0.00649,                0.00649,                0.00649
                     80,               0.023256,               0.015313,               0.027667,              0.0017752,                0.98945,                0.98897,                0.98578,                0.80938,                0.96189,                0.96139,                0.95547,                0.76687,               0.017271,               0.016099,               0.019102,              0.0014634,               0.006445,               0.006445,               0.006445
                     81,               0.023141,               0.016348,               0.026754,              0.0018366,                0.99139,                0.99063,                0.98893,                0.82456,                  0.958,                0.95725,                0.95138,                0.73666,               0.015628,               0.015838,               0.018448,              0.0015216,                 0.0064,                 0.0064,                 0.0064
                     82,                0.02312,               0.016111,               0.027327,              0.0019217,                 0.9912,                0.99156,                0.98845,                  0.818,                0.96197,                0.96139,                0.95555,                0.75917,               0.016606,               0.015778,               0.018325,              0.0015669,               0.006355,               0.006355,               0.006355
                     83,               0.022925,               0.015668,               0.026532,              0.0019507,                0.98841,                0.99173,                0.98854,                0.83299,                0.94299,                0.94622,                0.93576,                0.73823,               0.015174,               0.015467,               0.018522,              0.0015609,                0.00631,                0.00631,                0.00631
                     84,                0.02177,               0.015704,               0.026597,              0.0017974,                0.98995,                0.99035,                0.98684,                 0.8002,                  0.961,                0.96139,                0.95021,                0.71365,               0.017184,               0.015575,               0.018964,              0.0014682,               0.006265,               0.006265,               0.006265
                     85,               0.022684,               0.016189,               0.027956,              0.0019377,                0.99083,                0.99173,                0.98978,                0.81831,                0.96496,                0.96553,                0.96089,                 0.7686,               0.015826,               0.015538,               0.018408,              0.0015259,                0.00622,                0.00622,                0.00622
                     86,               0.022935,               0.015887,               0.026718,              0.0018528,                0.99126,                0.99173,                0.98864,                0.82937,                0.92272,                0.92277,                0.91518,                 0.6885,               0.015744,               0.015821,               0.018231,              0.0014258,               0.006175,               0.006175,               0.006175
                     87,               0.022719,               0.015669,               0.027048,              0.0017836,                0.99115,                0.99173,                0.98888,                0.81626,                0.95342,                0.95311,                0.94672,                0.76418,               0.015689,               0.015822,               0.018857,              0.0014508,                0.00613,                0.00613,                0.00613
                     88,               0.022205,               0.015775,               0.026467,              0.0018006,                0.98951,                0.98996,                0.98731,                0.79363,                 0.9316,                0.93104,                0.92446,                0.75643,               0.017494,               0.015649,               0.018744,              0.0014352,               0.006085,               0.006085,               0.006085
                     89,               0.022416,               0.015762,               0.026189,              0.0018934,                0.99158,                0.99085,                  0.989,                0.83338,                0.92521,                0.92415,                0.90326,                0.70834,               0.015274,               0.015945,               0.018054,               0.001617,                0.00604,                0.00604,                0.00604
                     90,               0.022553,               0.015543,                0.02631,              0.0018465,                0.99129,                0.99131,                0.98881,                0.81811,                 0.9608,                0.96001,                0.94769,                0.76982,               0.015496,               0.015862,                0.01826,              0.0014254,               0.005995,               0.005995,               0.005995
                     91,               0.021733,               0.015791,               0.026719,               0.001778,                0.98998,                0.98977,                0.98612,                0.83638,                0.94838,                0.94751,                 0.9365,                0.74064,               0.015338,               0.015514,               0.018199,              0.0014406,                0.00595,                0.00595,                0.00595
                     92,               0.021698,               0.016049,               0.028584,              0.0017502,                0.98945,                0.99035,                0.98683,                0.80925,                0.93112,                0.92966,                0.92072,                0.70399,               0.015646,               0.015644,               0.018414,              0.0014582,               0.005905,               0.005905,               0.005905
                     93,               0.021869,               0.015978,               0.026323,              0.0018955,                0.99099,                0.99173,                0.98886,                0.84198,                0.93926,                0.93794,                0.92756,                 0.7283,               0.015003,               0.015643,               0.018059,              0.0014644,                0.00586,                0.00586,                0.00586
                     94,               0.021927,               0.015665,                0.02511,              0.0017384,                0.99162,                0.99173,                0.98815,                0.82205,                0.94777,                0.94686,                0.93695,                 0.7124,               0.016353,               0.015896,               0.018784,              0.0014754,               0.005815,               0.005815,               0.005815
                     95,                0.02201,               0.015865,               0.025332,              0.0018379,                0.99105,                0.99173,                0.98835,                0.82475,                0.95142,                0.95173,                0.94722,                0.75779,               0.017339,               0.015564,               0.018902,              0.0014296,                0.00577,                0.00577,                0.00577
                     96,               0.021373,               0.014818,               0.026058,              0.0016677,                0.98992,                0.99012,                0.98622,                0.81917,                0.96597,                0.96553,                0.96047,                0.76568,               0.017753,               0.015409,               0.019016,              0.0014306,               0.005725,               0.005725,               0.005725
                     97,               0.022221,               0.015492,               0.026219,              0.0017674,                0.99148,                0.99173,                0.98815,                0.82274,                0.96359,                0.96135,                0.95465,                0.75131,               0.015596,               0.015776,                0.01836,              0.0014972,                0.00568,                0.00568,                0.00568
                     98,               0.021205,                0.01553,               0.025383,              0.0016923,                0.98961,                0.98991,                0.98641,                0.82722,                0.93177,                  0.932,                0.92003,                0.72261,               0.016602,                  0.016,               0.019684,              0.0014597,               0.005635,               0.005635,               0.005635
                     99,               0.020986,               0.015374,               0.024772,              0.0017629,                0.98853,                0.99035,                0.98659,                0.82258,                0.91836,                0.92001,                 0.9101,                0.72831,               0.015885,               0.015945,               0.019214,              0.0015026,                0.00559,                0.00559,                0.00559
                    100,               0.021249,               0.015827,               0.025306,               0.001859,                0.98892,                0.99035,                0.98687,                0.83026,                 0.9342,                0.93518,                0.92565,                 0.7364,               0.015109,               0.015684,               0.018202,              0.0015452,               0.005545,               0.005545,               0.005545
                    101,               0.021081,               0.015497,               0.025782,              0.0017833,                0.98927,                0.99035,                0.98686,                0.83032,                0.94099,                0.94208,                0.92689,                0.71597,               0.015534,               0.015549,               0.018243,              0.0014503,                 0.0055,                 0.0055,                 0.0055
                    102,               0.020673,               0.015292,               0.024254,              0.0017361,                0.99185,                0.99173,                 0.9884,                0.82328,                0.93673,                0.93656,                0.92188,                 0.7262,               0.015785,               0.015323,               0.017916,              0.0014528,               0.005455,               0.005455,               0.005455
                    103,               0.020688,               0.015347,               0.024862,              0.0017273,                0.99203,                0.99155,                0.98869,                0.83622,                0.94656,                0.94603,                0.93861,                 0.7349,               0.015302,               0.015639,               0.017981,               0.001449,                0.00541,                0.00541,                0.00541
                    104,               0.020869,               0.015566,               0.025756,              0.0017649,                0.99177,                0.99173,                0.98916,                0.83916,                0.95737,                0.95725,                0.94978,                0.73049,               0.014445,               0.015533,               0.018062,              0.0014308,               0.005365,               0.005365,               0.005365
                    105,               0.020365,               0.015601,               0.024661,              0.0017128,                0.99145,                0.99173,                0.98855,                0.83344,                0.94466,                0.94484,                0.93689,                0.71065,               0.015745,               0.015692,                0.01853,              0.0014609,                0.00532,                0.00532,                0.00532
